employment_type,education,marital_status,employment_type_encoded,education_encoded,marital_status_encoded
full-time,Advanced,married,1,0,1
full-time,graduate,married,1,3,1
full-time,Some College,married,1,1,1
self-employed,bachelor,married,3,2,1
full-time,bachelor,married,1,2,1
full-time,Some College,married,1,1,1
full-time,high school,married,1,4,1
full-time,bachelor,single,1,2,2
self-employed,bachelor,married,3,2,1
part-time,bachelor,married,2,2,1
contract,high school,single,0,4,2
full-time,bachelor,married,1,2,1
full-time,bachelor,single,1,2,2
full-time,Advanced,married,1,0,1
contract,bachelor,single,0,2,2
full-time,graduate,married,1,3,1
self-employed,high school,married,3,4,1
self-employed,bachelor,married,3,2,1
full-time,high school,married,1,4,1
full-time,high school,married,1,4,1
full-time,Some College,single,1,1,2
contract,Some College,married,0,1,1
full-time,bachelor,single,1,2,2
full-time,high school,single,1,4,2
full-time,Some College,single,1,1,2
full-time,bachelor,married,1,2,1
full-time,bachelor,single,1,2,2
contract,bachelor,single,0,2,2
full-time,bachelor,married,1,2,1
full-time,bachelor,married,1,2,1
full-time,Some College,divorced,1,1,0
contract,Some College,married,0,1,1
part-time,Some College,married,2,1,1
self-employed,high school,married,3,4,1
full-time,bachelor,divorced,1,2,0
full-time,high school,single,1,4,2
part-time,Some College,married,2,1,1
full-time,high school,single,1,4,2
full-time,high school,married,1,4,1
full-time,graduate,married,1,3,1
full-time,Some College,divorced,1,1,0
full-time,Some College,married,1,1,1
full-time,Advanced,single,1,0,2
full-time,Some College,married,1,1,1
full-time,bachelor,married,1,2,1
full-time,graduate,married,1,3,1
full-time,high school,married,1,4,1
full-time,Some College,single,1,1,2
full-time,bachelor,married,1,2,1
self-employed,graduate,single,3,3,2
contract,high school,married,0,4,1
contract,Some College,single,0,1,2
part-time,bachelor,single,2,2,2
full-time,Some College,single,1,1,2
full-time,Some College,married,1,1,1
full-time,bachelor,married,1,2,1
contract,high school,single,0,4,2
full-time,bachelor,married,1,2,1
full-time,Advanced,single,1,0,2
full-time,high school,married,1,4,1
full-time,high school,single,1,4,2
contract,high school,married,0,4,1
full-time,graduate,single,1,3,2
full-time,high school,single,1,4,2
self-employed,high school,single,3,4,2
self-employed,bachelor,married,3,2,1
self-employed,bachelor,single,3,2,2
full-time,bachelor,divorced,1,2,0
full-time,high school,married,1,4,1
full-time,bachelor,single,1,2,2
part-time,bachelor,single,2,2,2
full-time,graduate,married,1,3,1
part-time,graduate,married,2,3,1
self-employed,bachelor,married,3,2,1
part-time,bachelor,married,2,2,1
full-time,Advanced,single,1,0,2
full-time,bachelor,married,1,2,1
part-time,high school,divorced,2,4,0
full-time,bachelor,married,1,2,1
full-time,graduate,married,1,3,1
full-time,Advanced,married,1,0,1
full-time,high school,married,1,4,1
full-time,bachelor,married,1,2,1
self-employed,bachelor,married,3,2,1
full-time,bachelor,married,1,2,1
full-time,bachelor,single,1,2,2
contract,Some College,married,0,1,1
full-time,Some College,single,1,1,2
full-time,Some College,married,1,1,1
part-time,high school,married,2,4,1
full-time,bachelor,single,1,2,2
full-time,graduate,single,1,3,2
full-time,bachelor,single,1,2,2
full-time,high school,married,1,4,1
full-time,high school,married,1,4,1
full-time,high school,divorced,1,4,0
full-time,bachelor,single,1,2,2
self-employed,bachelor,single,3,2,2
full-time,Advanced,single,1,0,2
full-time,graduate,divorced,1,3,0
full-time,bachelor,single,1,2,2
contract,graduate,married,0,3,1
full-time,graduate,married,1,3,1
self-employed,Advanced,single,3,0,2
full-time,bachelor,divorced,1,2,0
full-time,bachelor,married,1,2,1
full-time,Advanced,married,1,0,1
full-time,bachelor,married,1,2,1
contract,high school,married,0,4,1
full-time,bachelor,married,1,2,1
self-employed,bachelor,divorced,3,2,0
contract,graduate,married,0,3,1
full-time,Some College,married,1,1,1
full-time,bachelor,married,1,2,1
full-time,graduate,divorced,1,3,0
full-time,bachelor,married,1,2,1
contract,graduate,married,0,3,1
full-time,Advanced,married,1,0,1
contract,graduate,married,0,3,1
self-employed,bachelor,married,3,2,1
full-time,bachelor,single,1,2,2
self-employed,high school,single,3,4,2
full-time,bachelor,married,1,2,1
full-time,bachelor,married,1,2,1
full-time,high school,married,1,4,1
full-time,bachelor,married,1,2,1
self-employed,Some College,married,3,1,1
full-time,bachelor,married,1,2,1
self-employed,Some College,married,3,1,1
full-time,bachelor,single,1,2,2
contract,high school,married,0,4,1
full-time,bachelor,married,1,2,1
self-employed,high school,married,3,4,1
part-time,bachelor,married,2,2,1
self-employed,Some College,single,3,1,2
full-time,bachelor,married,1,2,1
contract,graduate,married,0,3,1
contract,bachelor,divorced,0,2,0
full-time,bachelor,married,1,2,1
part-time,Advanced,single,2,0,2
full-time,high school,married,1,4,1
full-time,Some College,single,1,1,2
full-time,high school,married,1,4,1
full-time,high school,single,1,4,2
part-time,bachelor,married,2,2,1
full-time,Advanced,single,1,0,2
full-time,bachelor,married,1,2,1
full-time,Some College,married,1,1,1
contract,high school,single,0,4,2
full-time,high school,married,1,4,1
self-employed,Advanced,married,3,0,1
full-time,bachelor,married,1,2,1
full-time,graduate,married,1,3,1
self-employed,high school,married,3,4,1
full-time,high school,married,1,4,1
self-employed,high school,married,3,4,1
full-time,Some College,single,1,1,2
self-employed,graduate,single,3,3,2
full-time,high school,married,1,4,1
full-time,bachelor,married,1,2,1
full-time,high school,married,1,4,1
full-time,graduate,married,1,3,1
full-time,high school,married,1,4,1
full-time,bachelor,married,1,2,1
full-time,high school,married,1,4,1
full-time,graduate,divorced,1,3,0
part-time,bachelor,married,2,2,1
full-time,high school,married,1,4,1
full-time,bachelor,single,1,2,2
full-time,Advanced,married,1,0,1
full-time,Some College,divorced,1,1,0
full-time,high school,single,1,4,2
full-time,Some College,single,1,1,2
contract,high school,married,0,4,1
full-time,Some College,married,1,1,1
full-time,high school,single,1,4,2
full-time,graduate,married,1,3,1
part-time,graduate,married,2,3,1
full-time,bachelor,married,1,2,1
contract,bachelor,married,0,2,1
full-time,high school,single,1,4,2
self-employed,bachelor,married,3,2,1
full-time,bachelor,single,1,2,2
contract,high school,divorced,0,4,0
part-time,graduate,single,2,3,2
full-time,bachelor,married,1,2,1
part-time,high school,married,2,4,1
contract,graduate,married,0,3,1
full-time,graduate,single,1,3,2
self-employed,Some College,married,3,1,1
full-time,bachelor,married,1,2,1
full-time,graduate,married,1,3,1
full-time,Some College,married,1,1,1
part-time,high school,single,2,4,2
full-time,Some College,married,1,1,1
self-employed,bachelor,married,3,2,1
self-employed,bachelor,single,3,2,2
full-time,high school,single,1,4,2
self-employed,bachelor,married,3,2,1
self-employed,bachelor,single,3,2,2
full-time,Some College,married,1,1,1
full-time,high school,single,1,4,2
full-time,high school,married,1,4,1
full-time,Some College,married,1,1,1
self-employed,bachelor,single,3,2,2
full-time,bachelor,married,1,2,1
contract,high school,single,0,4,2
full-time,bachelor,married,1,2,1
full-time,Some College,single,1,1,2
full-time,bachelor,married,1,2,1
part-time,graduate,single,2,3,2
contract,bachelor,married,0,2,1
part-time,bachelor,married,2,2,1
full-time,graduate,single,1,3,2
full-time,graduate,married,1,3,1
full-time,Advanced,married,1,0,1
full-time,bachelor,married,1,2,1
full-time,Some College,married,1,1,1
part-time,high school,single,2,4,2
self-employed,graduate,married,3,3,1
full-time,high school,married,1,4,1
contract,graduate,married,0,3,1
full-time,Some College,single,1,1,2
full-time,graduate,married,1,3,1
full-time,Some College,single,1,1,2
full-time,high school,married,1,4,1
self-employed,high school,married,3,4,1
full-time,Advanced,married,1,0,1
full-time,high school,married,1,4,1
full-time,bachelor,married,1,2,1
full-time,Some College,married,1,1,1
full-time,graduate,married,1,3,1
full-time,Some College,married,1,1,1
self-employed,Some College,single,3,1,2
self-employed,bachelor,married,3,2,1
full-time,bachelor,married,1,2,1
self-employed,graduate,married,3,3,1
full-time,high school,married,1,4,1
full-time,graduate,married,1,3,1
contract,graduate,married,0,3,1
full-time,high school,divorced,1,4,0
full-time,high school,single,1,4,2
self-employed,Some College,single,3,1,2
full-time,graduate,single,1,3,2
full-time,high school,married,1,4,1
full-time,Some College,single,1,1,2
full-time,graduate,divorced,1,3,0
full-time,high school,single,1,4,2
part-time,Some College,married,2,1,1
full-time,Some College,married,1,1,1
contract,Some College,married,0,1,1
full-time,Some College,single,1,1,2
self-employed,bachelor,single,3,2,2
contract,Some College,married,0,1,1
full-time,Some College,married,1,1,1
full-time,high school,divorced,1,4,0
full-time,Some College,single,1,1,2
full-time,high school,married,1,4,1
self-employed,Advanced,married,3,0,1
full-time,Some College,married,1,1,1
full-time,bachelor,married,1,2,1
contract,graduate,divorced,0,3,0
full-time,bachelor,married,1,2,1
full-time,bachelor,married,1,2,1
contract,high school,married,0,4,1
full-time,bachelor,married,1,2,1
full-time,graduate,married,1,3,1
full-time,bachelor,single,1,2,2
full-time,bachelor,married,1,2,1
full-time,bachelor,married,1,2,1
contract,high school,single,0,4,2
full-time,bachelor,married,1,2,1
full-time,bachelor,married,1,2,1
part-time,high school,married,2,4,1
full-time,bachelor,single,1,2,2
full-time,bachelor,married,1,2,1
full-time,bachelor,single,1,2,2
self-employed,bachelor,married,3,2,1
full-time,bachelor,married,1,2,1
contract,Some College,married,0,1,1
full-time,high school,single,1,4,2
full-time,Some College,married,1,1,1
full-time,high school,married,1,4,1
part-time,bachelor,married,2,2,1
full-time,graduate,married,1,3,1
full-time,Some College,married,1,1,1
self-employed,graduate,married,3,3,1
part-time,graduate,single,2,3,2
full-time,Advanced,single,1,0,2
full-time,graduate,married,1,3,1
full-time,graduate,married,1,3,1
full-time,Some College,married,1,1,1
self-employed,Some College,single,3,1,2
full-time,bachelor,single,1,2,2
full-time,bachelor,single,1,2,2
full-time,Some College,single,1,1,2
full-time,bachelor,single,1,2,2
full-time,high school,married,1,4,1
full-time,Some College,married,1,1,1
full-time,high school,married,1,4,1
full-time,bachelor,single,1,2,2
part-time,high school,married,2,4,1
full-time,Some College,married,1,1,1
contract,Some College,married,0,1,1
full-time,bachelor,divorced,1,2,0
full-time,Some College,single,1,1,2
full-time,bachelor,single,1,2,2
full-time,bachelor,married,1,2,1
self-employed,high school,married,3,4,1
full-time,Advanced,married,1,0,1
full-time,Advanced,married,1,0,1
self-employed,Advanced,divorced,3,0,0
full-time,graduate,married,1,3,1
full-time,graduate,single,1,3,2
full-time,Advanced,single,1,0,2
full-time,graduate,divorced,1,3,0
full-time,high school,married,1,4,1
full-time,bachelor,single,1,2,2
self-employed,graduate,single,3,3,2
full-time,bachelor,single,1,2,2
full-time,Advanced,single,1,0,2
full-time,bachelor,single,1,2,2
full-time,Advanced,single,1,0,2
full-time,high school,married,1,4,1
full-time,graduate,married,1,3,1
contract,Some College,single,0,1,2
full-time,graduate,married,1,3,1
part-time,graduate,married,2,3,1
full-time,high school,married,1,4,1
full-time,high school,married,1,4,1
full-time,bachelor,married,1,2,1
full-time,high school,single,1,4,2
self-employed,graduate,married,3,3,1
self-employed,graduate,married,3,3,1
full-time,Advanced,married,1,0,1
full-time,bachelor,single,1,2,2
full-time,high school,married,1,4,1
full-time,high school,single,1,4,2
full-time,Some College,single,1,1,2
full-time,Some College,single,1,1,2
self-employed,high school,married,3,4,1
full-time,Some College,single,1,1,2
self-employed,Some College,single,3,1,2
self-employed,bachelor,married,3,2,1
full-time,high school,single,1,4,2
full-time,Some College,divorced,1,1,0
full-time,bachelor,divorced,1,2,0
full-time,Some College,single,1,1,2
full-time,graduate,married,1,3,1
full-time,bachelor,married,1,2,1
self-employed,Some College,single,3,1,2
full-time,Advanced,married,1,0,1
full-time,Advanced,single,1,0,2
full-time,Some College,single,1,1,2
full-time,graduate,married,1,3,1
full-time,Some College,married,1,1,1
full-time,Some College,married,1,1,1
contract,Some College,single,0,1,2
part-time,bachelor,divorced,2,2,0
full-time,high school,single,1,4,2
full-time,Some College,married,1,1,1
full-time,bachelor,single,1,2,2
full-time,Some College,single,1,1,2
full-time,graduate,married,1,3,1
part-time,high school,married,2,4,1
full-time,Some College,single,1,1,2
full-time,high school,single,1,4,2
contract,graduate,single,0,3,2
self-employed,graduate,married,3,3,1
full-time,high school,married,1,4,1
part-time,bachelor,married,2,2,1
full-time,Some College,single,1,1,2
full-time,graduate,single,1,3,2
full-time,Advanced,single,1,0,2
self-employed,graduate,single,3,3,2
full-time,Some College,single,1,1,2
full-time,high school,single,1,4,2
full-time,bachelor,married,1,2,1
self-employed,bachelor,married,3,2,1
full-time,bachelor,married,1,2,1
full-time,Some College,married,1,1,1
self-employed,bachelor,married,3,2,1
full-time,bachelor,married,1,2,1
full-time,Some College,single,1,1,2
full-time,Some College,single,1,1,2
self-employed,high school,married,3,4,1
part-time,high school,single,2,4,2
self-employed,Some College,married,3,1,1
full-time,high school,married,1,4,1
full-time,Some College,single,1,1,2
full-time,graduate,married,1,3,1
full-time,high school,married,1,4,1
self-employed,bachelor,married,3,2,1
full-time,Advanced,married,1,0,1
full-time,graduate,married,1,3,1
part-time,graduate,single,2,3,2
full-time,Some College,divorced,1,1,0
full-time,Some College,single,1,1,2
self-employed,high school,married,3,4,1
full-time,high school,single,1,4,2
full-time,Some College,single,1,1,2
full-time,Some College,single,1,1,2
full-time,Some College,single,1,1,2
full-time,bachelor,single,1,2,2
full-time,bachelor,married,1,2,1
full-time,high school,married,1,4,1
full-time,Some College,single,1,1,2
full-time,graduate,married,1,3,1
full-time,high school,single,1,4,2
self-employed,graduate,divorced,3,3,0
full-time,bachelor,married,1,2,1
full-time,Some College,married,1,1,1
full-time,bachelor,single,1,2,2
full-time,graduate,married,1,3,1
full-time,graduate,single,1,3,2
full-time,Some College,single,1,1,2
full-time,high school,married,1,4,1
full-time,bachelor,married,1,2,1
full-time,bachelor,married,1,2,1
full-time,graduate,single,1,3,2
self-employed,bachelor,married,3,2,1
self-employed,Some College,married,3,1,1
full-time,graduate,married,1,3,1
self-employed,graduate,single,3,3,2
full-time,bachelor,divorced,1,2,0
part-time,high school,divorced,2,4,0
full-time,bachelor,married,1,2,1
self-employed,Some College,married,3,1,1
full-time,Some College,married,1,1,1
full-time,Some College,married,1,1,1
part-time,bachelor,single,2,2,2
full-time,graduate,single,1,3,2
full-time,bachelor,married,1,2,1
full-time,Some College,married,1,1,1
self-employed,graduate,married,3,3,1
full-time,high school,married,1,4,1
full-time,high school,single,1,4,2
full-time,bachelor,married,1,2,1
full-time,high school,single,1,4,2
full-time,high school,single,1,4,2
part-time,bachelor,divorced,2,2,0
full-time,high school,married,1,4,1
full-time,graduate,single,1,3,2
